lemma,left,right,log_ratio,abs_log_ratio
juin,410,270,0.6008455423,0.6008455423
voiler,152,231,-0.6005931524,0.6005931524
épaule,30,46,-0.6003925413,0.6003925413
☺,187,123,0.6003925413,0.6003925413
🧐,160,243,-0.5998204594,0.5998204594
volume,49,32,0.5994620704,0.5994620704
new,202,133,0.5992467267,0.5992467267
sénateur,106,161,-0.5983830165,0.5983830165
marque,276,182,0.5980423278,0.5980423278
inconscient,36,55,-0.5979015564,0.5979015564
directrice,55,36,0.5979015564,0.5979015564
restriction,38,58,-0.5972408305,0.5972408305
toutou,58,38,0.5972408305,0.5972408305
gille,58,38,0.5972408305,0.5972408305
biaiser,58,38,0.5972408305,0.5972408305
sympathique,38,58,-0.5972408305,0.5972408305
illégitime,61,40,0.5966443058,0.5966443058
bibliothèque,64,42,0.5961030583,0.5961030583
avantage,179,271,-0.5956097449,0.5956097449
opposant,95,144,-0.5949465893,0.5949465893
diable,103,156,-0.5941810308,0.5941810308
règlement,54,82,-0.5936797178,0.5936797178
bouquin,88,58,0.5930903816,0.5930903816
neige,88,58,0.5930903816,0.5930903816
inscription,97,64,0.5923420311,0.5923420311
barbarie,68,103,-0.5919152614,0.5919152614
industrie,210,317,-0.5917837666,0.5917837666
celer,2285,3443,-0.5912597392,0.5912597392
attitude,78,118,-0.5910370151,0.5910370151
piège,80,121,-0.5908873347,0.5908873347
malin,86,130,-0.5904795057,0.5904795057
libéral,187,282,-0.5900693912,0.5900693912
marre,243,366,-0.5888989153,0.5888989153
durement,17,26,-0.5849625007,0.5849625007
congénère,11,17,-0.5849625007,0.5849625007
aplatir,5,8,-0.5849625007,0.5849625007
exagération,7,11,-0.5849625007,0.5849625007
botter,5,8,-0.5849625007,0.5849625007
turqui,5,8,-0.5849625007,0.5849625007
pointu,5,8,-0.5849625007,0.5849625007
ph,7,11,-0.5849625007,0.5849625007
indigène,11,17,-0.5849625007,0.5849625007
dérégulation,5,8,-0.5849625007,0.5849625007
vérifiable,9,14,-0.5849625007,0.5849625007
élucubration,5,8,-0.5849625007,0.5849625007
ménager,13,20,-0.5849625007,0.5849625007
buter,21,32,-0.5849625007,0.5849625007
poitrine,9,14,-0.5849625007,0.5849625007
caprice,17,26,-0.5849625007,0.5849625007
lecher,5,8,-0.5849625007,0.5849625007
prétentieux,25,38,-0.5849625007,0.5849625007
berry,5,8,-0.5849625007,0.5849625007
sieste,13,20,-0.5849625007,0.5849625007
moribond,9,14,-0.5849625007,0.5849625007
antijuif,5,8,-0.5849625007,0.5849625007
beaumont,7,11,-0.5849625007,0.5849625007
embouteillage,7,11,-0.5849625007,0.5849625007
schizophrénie,9,14,-0.5849625007,0.5849625007
déplorer,35,53,-0.5849625007,0.5849625007
actuelle,5,8,-0.5849625007,0.5849625007
seoir,5,8,-0.5849625007,0.5849625007
précurseur,11,17,-0.5849625007,0.5849625007
implorer,5,8,-0.5849625007,0.5849625007
tube,21,32,-0.5849625007,0.5849625007
marais,9,14,-0.5849625007,0.5849625007
affrontement,27,41,-0.5849625007,0.5849625007
invectiver,5,8,-0.5849625007,0.5849625007
impayé,5,8,-0.5849625007,0.5849625007
laine,5,8,-0.5849625007,0.5849625007
chirurgie,15,23,-0.5849625007,0.5849625007
instrumentalise,15,23,-0.5849625007,0.5849625007
radicaliser,31,47,-0.5849625007,0.5849625007
ozone,5,8,-0.5849625007,0.5849625007
insipide,9,14,-0.5849625007,0.5849625007
yve,5,8,-0.5849625007,0.5849625007
kfc,5,8,-0.5849625007,0.5849625007
banquet,9,14,-0.5849625007,0.5849625007
patriot,5,8,-0.5849625007,0.5849625007
brancard,5,8,-0.5849625007,0.5849625007
gabonais,5,8,-0.5849625007,0.5849625007
trésorerie,5,8,-0.5849625007,0.5849625007
christine,39,59,-0.5849625007,0.5849625007
dégonfler,9,14,-0.5849625007,0.5849625007
sara,5,8,-0.5849625007,0.5849625007
banal,21,32,-0.5849625007,0.5849625007
turin,7,11,-0.5849625007,0.5849625007
vitalité,7,11,-0.5849625007,0.5849625007
notifier,5,8,-0.5849625007,0.5849625007
carriériste,7,11,-0.5849625007,0.5849625007
webagency,7,11,-0.5849625007,0.5849625007
cire,5,8,-0.5849625007,0.5849625007
héréditaire,5,8,-0.5849625007,0.5849625007
tribulation,7,11,-0.5849625007,0.5849625007
vindicte,5,8,-0.5849625007,0.5849625007
détracteur,17,26,-0.5849625007,0.5849625007
ukrainewar,7,11,-0.5849625007,0.5849625007
questionnement,11,17,-0.5849625007,0.5849625007
fayard,7,11,-0.5849625007,0.5849625007
subventionne,7,11,-0.5849625007,0.5849625007
terrer,5,8,-0.5849625007,0.5849625007
hormone,9,14,-0.5849625007,0.5849625007
faubourg,5,8,-0.5849625007,0.5849625007
camera,5,8,-0.5849625007,0.5849625007
taquet,5,8,-0.5849625007,0.5849625007
conteneur,5,8,-0.5849625007,0.5849625007
essouffler,7,11,-0.5849625007,0.5849625007
sosie,11,17,-0.5849625007,0.5849625007
kouchner,5,8,-0.5849625007,0.5849625007
accroissement,5,8,-0.5849625007,0.5849625007
phénoménal,7,11,-0.5849625007,0.5849625007
perplexe,13,20,-0.5849625007,0.5849625007
clarté,23,35,-0.5849625007,0.5849625007
branlette,9,14,-0.5849625007,0.5849625007
survêtement,5,8,-0.5849625007,0.5849625007
pangolin,7,11,-0.5849625007,0.5849625007
ramasse,5,8,-0.5849625007,0.5849625007
🎵,25,38,-0.5849625007,0.5849625007
entraine,5,8,-0.5849625007,0.5849625007
cese,7,11,-0.5849625007,0.5849625007
désolation,11,17,-0.5849625007,0.5849625007
foundation,5,8,-0.5849625007,0.5849625007
jdnew,5,8,-0.5849625007,0.5849625007
équitable,29,44,-0.5849625007,0.5849625007
exploration,11,17,-0.5849625007,0.5849625007
souscrire,17,26,-0.5849625007,0.5849625007
accentuer,21,32,-0.5849625007,0.5849625007
persist,13,20,-0.5849625007,0.5849625007
médine,9,14,-0.5849625007,0.5849625007
heurter,23,35,-0.5849625007,0.5849625007
humilier,87,131,-0.5849625007,0.5849625007
patronyme,5,8,-0.5849625007,0.5849625007
next,29,44,-0.5849625007,0.5849625007
ardoise,5,8,-0.5849625007,0.5849625007
fauteur,7,11,-0.5849625007,0.5849625007
pâtir,5,8,-0.5849625007,0.5849625007
rétro,11,17,-0.5849625007,0.5849625007
étoffe,5,8,-0.5849625007,0.5849625007
stérilisation,5,8,-0.5849625007,0.5849625007
maquis,5,8,-0.5849625007,0.5849625007
dépêcher,9,14,-0.5849625007,0.5849625007
bougie,27,41,-0.5849625007,0.5849625007
🕳,5,8,-0.5849625007,0.5849625007
imbiber,5,8,-0.5849625007,0.5849625007
détecter,33,50,-0.5849625007,0.5849625007
oubliette,11,17,-0.5849625007,0.5849625007
arthaud,5,8,-0.5849625007,0.5849625007
erroné,17,26,-0.5849625007,0.5849625007
égorgement,7,11,-0.5849625007,0.5849625007
voyance,5,8,-0.5849625007,0.5849625007
defend,5,8,-0.5849625007,0.5849625007
capituler,7,11,-0.5849625007,0.5849625007
infuser,5,8,-0.5849625007,0.5849625007
shah,5,8,-0.5849625007,0.5849625007
médian,9,14,-0.5849625007,0.5849625007
froidement,7,11,-0.5849625007,0.5849625007
weber,5,8,-0.5849625007,0.5849625007
écervelé,13,20,-0.5849625007,0.5849625007
échéance,17,26,-0.5849625007,0.5849625007
surjouer,5,8,-0.5849625007,0.5849625007
évincer,15,23,-0.5849625007,0.5849625007
blessant,5,8,-0.5849625007,0.5849625007
scandaleu,19,29,-0.5849625007,0.5849625007
capturer,17,26,-0.5849625007,0.5849625007
excepté,7,11,-0.5849625007,0.5849625007
teneur,7,11,-0.5849625007,0.5849625007
treillis,7,11,-0.5849625007,0.5849625007
robotique,9,14,-0.5849625007,0.5849625007
farouche,7,11,-0.5849625007,0.5849625007
home,9,14,-0.5849625007,0.5849625007
🌴,5,8,-0.5849625007,0.5849625007
congeler,5,8,-0.5849625007,0.5849625007
saper,7,11,-0.5849625007,0.5849625007
pluralité,13,20,-0.5849625007,0.5849625007
illogique,5,8,-0.5849625007,0.5849625007
attaque,405,608,-0.5849625007,0.5849625007
requis,5,8,-0.5849625007,0.5849625007
mégaphone,5,8,-0.5849625007,0.5849625007
ratifier,5,8,-0.5849625007,0.5849625007
compliqu,9,14,-0.5849625007,0.5849625007
crédible,117,176,-0.5849625007,0.5849625007
enchanté,13,20,-0.5849625007,0.5849625007
taxant,5,8,-0.5849625007,0.5849625007
demeuré,25,38,-0.5849625007,0.5849625007
trisomie,7,11,-0.5849625007,0.5849625007
mesur,5,8,-0.5849625007,0.5849625007
cerf,5,8,-0.5849625007,0.5849625007
aisément,13,20,-0.5849625007,0.5849625007
fonte,7,11,-0.5849625007,0.5849625007
lambeau,5,8,-0.5849625007,0.5849625007
sentimental,5,8,-0.5849625007,0.5849625007
comparution,7,11,-0.5849625007,0.5849625007
rudy,9,14,-0.5849625007,0.5849625007
adoration,7,11,-0.5849625007,0.5849625007
insensé,15,23,-0.5849625007,0.5849625007
résider,31,47,-0.5849625007,0.5849625007
superman,7,11,-0.5849625007,0.5849625007
baton,5,8,-0.5849625007,0.5849625007
surtaxe,5,8,-0.5849625007,0.5849625007
trinité,9,14,-0.5849625007,0.5849625007
susciter,51,77,-0.5849625007,0.5849625007
hégémonique,5,8,-0.5849625007,0.5849625007
malte,8,5,0.5849625007,0.5849625007
croquer,11,7,0.5849625007,0.5849625007
ae,8,5,0.5849625007,0.5849625007
déco,11,7,0.5849625007,0.5849625007
calédonie,50,33,0.5849625007,0.5849625007
confidence,17,11,0.5849625007,0.5849625007
plf,11,7,0.5849625007,0.5849625007
essentialiser,14,9,0.5849625007,0.5849625007
admiratif,11,7,0.5849625007,0.5849625007
frer,8,5,0.5849625007,0.5849625007
prérogative,11,7,0.5849625007,0.5849625007
expirer,8,5,0.5849625007,0.5849625007
elizabeth,14,9,0.5849625007,0.5849625007
intriguer,11,7,0.5849625007,0.5849625007
domicil,8,5,0.5849625007,0.5849625007
sapien,8,5,0.5849625007,0.5849625007
auj,14,9,0.5849625007,0.5849625007
chauve,26,17,0.5849625007,0.5849625007
assange,14,9,0.5849625007,0.5849625007
mag,17,11,0.5849625007,0.5849625007
intensifier,32,21,0.5849625007,0.5849625007
fliquer,8,5,0.5849625007,0.5849625007
crs,8,5,0.5849625007,0.5849625007
goncourt,11,7,0.5849625007,0.5849625007
marxisme,20,13,0.5849625007,0.5849625007
fabien,56,37,0.5849625007,0.5849625007
faut,26,17,0.5849625007,0.5849625007
prcf,14,9,0.5849625007,0.5849625007
prolonger,65,43,0.5849625007,0.5849625007
préjugé,41,27,0.5849625007,0.5849625007
booste,11,7,0.5849625007,0.5849625007
tou,8,5,0.5849625007,0.5849625007
loins,11,7,0.5849625007,0.5849625007
indicatif,8,5,0.5849625007,0.5849625007
stimulant,8,5,0.5849625007,0.5849625007
uranium,11,7,0.5849625007,0.5849625007
auditoire,8,5,0.5849625007,0.5849625007
organisateur,32,21,0.5849625007,0.5849625007
ralentissement,11,7,0.5849625007,0.5849625007
rattrapage,14,9,0.5849625007,0.5849625007
corrida,8,5,0.5849625007,0.5849625007
chaillot,11,7,0.5849625007,0.5849625007
régulation,50,33,0.5849625007,0.5849625007
inféoder,11,7,0.5849625007,0.5849625007
fisc,26,17,0.5849625007,0.5849625007
oslo,11,7,0.5849625007,0.5849625007
kiki,8,5,0.5849625007,0.5849625007
évanouir,8,5,0.5849625007,0.5849625007
ferdinand,8,5,0.5849625007,0.5849625007
barbie,11,7,0.5849625007,0.5849625007
eth,11,7,0.5849625007,0.5849625007
parigot,8,5,0.5849625007,0.5849625007
nou,8,5,0.5849625007,0.5849625007
boue,32,21,0.5849625007,0.5849625007
brêle,8,5,0.5849625007,0.5849625007
nettoyage,101,67,0.5849625007,0.5849625007
ahhhh,11,7,0.5849625007,0.5849625007
durabilité,11,7,0.5849625007,0.5849625007
intemporel,8,5,0.5849625007,0.5849625007
harceleur,26,17,0.5849625007,0.5849625007
réinventer,35,23,0.5849625007,0.5849625007
réévaluer,8,5,0.5849625007,0.5849625007
